City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Tarakan,ID,80.1,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
198,Mount Isa,AU,91.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
199,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
201,Broken Hill,AU,80.74,broken clouds,-31.95,141.4333,Royal Exchange Hotel
204,Prieska,ZA,73.4,scattered clouds,-29.6641,22.7474,Avenue GuestHouse
207,Isangel,VU,83.44,broken clouds,-19.55,169.2667,Tanna Lodge
211,Horizontina,BR,73.96,broken clouds,-27.6258,-54.3078,Hotel Avenida
214,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
216,Ixtapa,MX,74.43,clear sky,20.7,-105.2,hotel la terminal
226,Ugoofaaru,MV,82.04,scattered clouds,5.6667,73.0,Ungoofaaru Inn
227,Cabo San Lucas,MX,71.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
229,Nortelandia,BR,71.96,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
234,Moerai,PF,80.4,light rain,-22.4333,-151.3333,Le Manotel
235,Sao Paulo Do Potengi,BR,77.11,light rain,-5.895,-35.7628,Pousada e Restaurante Carne Assada do Ari
236,Puerto Baquerizo Moreno,EC,76.78,few clouds,-0.9,-89.6,Hotel los Algarrobos
238,Sola,VU,82.17,very heavy rain,-13.8833,167.55,Leumerus Bungalows
243,Bathsheba,BB,76.96,scattered clouds,13.2167,-59.5167,Atlantis Hotel
244,Miri,MY,74.32,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
247,Beloha,MG,70.57,clear sky,-25.1667,45.05,
251,Wonthaggi,AU,82.38,overcast clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
254,Dingle,PH,85.03,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
256,Pisco,PE,71.65,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
257,Port Macquarie,AU,80.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
258,Port Blair,IN,78.51,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
261,Saint-Joseph,RE,79.18,heavy intensity rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
262,Loandjili,CG,77.92,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
263,Cairns,AU,96.3,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
269,Byron Bay,AU,82.51,overcast clouds,-28.65,153.6167,Backpackers Inn
271,Alicia,PH,77.59,overcast clouds,16.7794,121.6973,Miguel’ Residences
273,Porbandar,IN,70.05,clear sky,21.6422,69.6093,Lords Inn Porbandar
277,Namatanai,PG,84.16,light rain,-3.6667,152.4333,Seagulls Inn Namatani
280,Puerto Leguizamo,CO,79.18,overcast clouds,-0.1934,-74.7819,la casona de juancho
288,Waspan,NI,70.99,clear sky,14.7419,-83.9717,Hostal casa de la rose
289,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
291,Nambucca Heads,AU,82.17,overcast clouds,-30.65,153.0,Marcel Towers Holiday Apartments
296,Ouadda,CF,72.77,broken clouds,8.0777,22.4007,
298,Entre-Deux,RE,77.25,heavy intensity rain,-21.2333,55.4667,Dimitile Hotel
300,Karratha,AU,101.71,clear sky,-20.7377,116.8463,ibis Styles Karratha
305,Maragogi,BR,79.61,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
307,Galesong,ID,84.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
309,San Ignacio,BZ,73.54,clear sky,17.1561,-89.0714,Rainforest Haven Inn
310,Kailua,US,78.78,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
311,Kapit,MY,71.98,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
313,Kudahuvadhoo,MV,82.35,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
