City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
78,College,64.8569,-147.8028,8.58,75,75,0.0,US,broken clouds
79,Kodiak,57.79,-152.4072,42.31,70,100,0.0,US,overcast clouds
80,Moranbah,-22.0016,148.0466,87.33,39,100,14.79,AU,overcast clouds
81,Atuona,-9.8,-139.0333,78.44,69,0,16.33,PF,clear sky
82,Belton,38.812,-94.5319,30.88,60,0,8.05,US,clear sky
83,Hilo,19.7297,-155.09,79.79,91,36,4.7,US,scattered clouds
84,Terrace,54.5163,-128.6035,40.42,98,99,2.93,CA,light rain
85,Ravar,31.2656,56.8055,54.63,36,4,2.91,IR,clear sky
86,Zyryanka,65.75,150.85,-29.09,94,100,0.29,RU,overcast clouds
87,Port Lincoln,-34.7333,135.8667,68.27,59,100,11.03,AU,overcast clouds
88,Sao Filipe,14.8961,-24.4956,70.45,65,100,14.67,CV,overcast clouds
89,Margate,51.3813,1.3862,46.18,81,73,5.99,GB,broken clouds
90,Tuktoyaktuk,69.4541,-133.0374,-27.4,75,40,6.91,CA,scattered clouds
91,Funchal,32.6333,-16.9,59.63,75,20,23.02,PT,few clouds
92,Hamilton,39.1834,-84.5333,26.44,62,0,3.15,US,clear sky
93,Albany,42.6001,-73.9662,20.44,61,62,1.99,US,broken clouds
94,Hithadhoo,-0.6,73.0833,81.32,71,99,5.3,MV,overcast clouds
95,Cherskiy,68.75,161.3,-31.38,96,22,0.4,RU,few clouds
96,Axim,4.8699,-2.2405,79.07,88,42,7.94,GH,scattered clouds
97,Esperance,-33.8667,121.9,69.31,64,100,15.93,AU,overcast clouds
98,Jurm,36.8648,70.8342,29.8,86,98,4.0,AF,light snow
99,Ambon,-3.6954,128.1814,86.14,70,40,4.61,ID,light rain
100,Xining,36.6167,101.7667,11.46,70,92,3.22,CN,overcast clouds
101,South Venice,27.0531,-82.4243,68.99,79,0,5.75,US,clear sky
102,Mnogovershinnyy,53.9353,139.9242,8.13,88,100,4.85,RU,overcast clouds
103,Airai,-8.9266,125.4092,73.35,62,71,1.86,TL,broken clouds
104,Tasiilaq,65.6145,-37.6368,21.36,67,100,16.84,GL,overcast clouds
105,Carnarvon,-24.8667,113.6333,102.27,21,5,5.75,AU,clear sky
106,Dalvik,65.9702,-18.5286,19.02,88,100,4.68,IS,overcast clouds
107,Trelew,-43.249,-65.3051,62.55,85,81,22.35,AR,broken clouds
108,Yulara,-25.2406,130.9889,87.64,20,0,9.22,AU,clear sky
109,Tautira,-17.7333,-149.15,84.0,77,89,13.87,PF,overcast clouds
110,Bajil,15.0584,43.2851,74.91,81,100,6.04,YE,overcast clouds
111,Eureka,40.8021,-124.1637,48.2,87,95,7.0,US,overcast clouds
112,Roald,62.5833,6.1333,38.34,93,100,24.16,NO,light snow
113,Malinovoye Ozero,51.6753,79.7825,0.09,85,4,6.11,RU,clear sky
114,Longyearbyen,78.2186,15.6401,-2.36,84,75,12.66,SJ,fog
115,East London,-33.0153,27.9116,71.6,74,12,18.12,ZA,few clouds
116,Venice,27.0998,-82.4543,67.98,79,0,5.75,US,clear sky
117,Brattvag,62.6002,6.4434,37.85,93,100,24.16,NO,light snow
118,Progreso,21.2833,-89.6667,78.12,83,72,15.05,MX,broken clouds
119,Quelimane,-17.8786,36.8883,75.11,95,100,1.57,MZ,light rain
120,Mogwase,-25.185,27.2665,65.98,72,6,3.44,ZA,clear sky
121,Marrakesh,31.6315,-8.0083,53.67,66,75,5.75,MA,broken clouds
122,Skibbereen,51.55,-9.2667,54.1,86,100,32.14,IE,overcast clouds
123,Faanui,-16.4833,-151.75,81.59,73,100,16.35,PF,light rain
124,Aklavik,68.2191,-135.0107,-30.01,100,16,2.75,CA,few clouds
125,Ponta Do Sol,32.6667,-17.1,59.63,65,84,8.12,PT,broken clouds
126,Bengkulu,-3.8004,102.2655,81.75,72,90,3.53,ID,overcast clouds
127,Mulege,26.8833,-111.9833,60.15,47,100,2.15,MX,overcast clouds
128,Taybad,34.74,60.7756,47.66,43,86,4.83,IR,overcast clouds
129,Okhotsk,59.3833,143.3,4.41,71,97,10.54,RU,overcast clouds
130,Hofn,64.2539,-15.2082,26.87,91,100,26.26,IS,light snow
131,Coahuayana,18.7333,-103.6833,81.88,87,2,0.94,MX,clear sky
132,Opuwo,-18.0607,13.84,68.67,86,100,3.69,NA,light rain
133,Santa Rosalia,27.3167,-112.2833,60.94,40,98,1.83,MX,overcast clouds
134,Santa Maria,-29.6842,-53.8069,72.36,42,81,7.02,BR,broken clouds
135,Avarua,-21.2078,-159.775,84.25,70,18,11.5,CK,few clouds
136,Coihaique,-45.5752,-72.0662,59.61,94,20,3.44,CL,few clouds
137,Usinsk,65.9939,57.5281,26.85,95,100,19.66,RU,light snow
138,Nanortalik,60.1432,-45.2371,16.92,66,100,39.71,GL,overcast clouds
139,Provideniya,64.3833,-173.3,-8.48,89,49,9.73,RU,scattered clouds
140,Fortuna,40.5982,-124.1573,47.93,91,100,8.05,US,overcast clouds
141,Husavik,66.0449,-17.3389,19.42,89,100,6.35,IS,overcast clouds
142,Nome,64.5011,-165.4064,3.27,78,0,8.05,US,clear sky
143,Dunedin,-45.8742,170.5036,63.81,58,41,7.0,NZ,scattered clouds
144,Churachandpur,24.3333,93.6667,56.05,40,1,3.29,IN,clear sky
145,Ilulissat,69.2167,-51.1,6.82,78,75,13.8,GL,light shower snow
146,Northam,51.0333,-4.2167,52.39,93,100,27.29,GB,overcast clouds
147,Touros,-5.1989,-35.4608,77.9,82,18,10.0,BR,few clouds
148,Bayburt,40.2589,40.2278,10.92,93,44,3.49,TR,scattered clouds
